36             (57   , 21   , 72   )              (74   , 21   , 24   )              (29   , 99   , 95   )              (23   , 86   , 7    )              (23   , 86   , 7    )              (41   , 41   , 22   )              
37             (90   , 93   , 81   )              (87   , 75   , 59   )              (4    , 0    , 70   )              (30   , 70   , 97   )              (30   , 70   , 97   )              (55   , 99   , 82   )              
38             (1    , 76   , 66   )              (20   , 7    , 88   )              (62   , 93   , 67   )              (9    , 12   , 96   )              (9    , 12   , 96   )              (37   , 40   , 46   )              
39             (9    , 29   , 96   )              (86   , 78   , 91   )              (18   , 85   , 44   )              (22   , 10   , 70   )              (22   , 10   , 70   )              (20   , 77   , 70   )              
40             (38   , 48   , 89   )              (98   , 94   , 20   )              (91   , 60   , 79   )              (44   , 26   , 55   )              (44   , 26   , 55   )              (36   , 1    , 34   )              
41             (54   , 57   , 99   )              (30   , 0    , 19   )              (19   , 94   , 95   )              (85   , 63   , 47   )              (85   , 63   , 47   )              (86   , 70   , 85   )              
42             (20   , 89   , 52   )              (89   , 82   , 92   )              (89   , 19   , 69   )              (62   , 30   , 96   )              (62   , 30   , 96   )              (39   , 98   , 14   )              
43             (78   , 10   , 77   )              (97   , 0    , 45   )              (87   , 70   , 89   )              (42   , 79   , 85   )              (42   , 79   , 85   )              (26   , 89   , 29   )              
44             (0    , 37   , 14   )              (48   , 68   , 58   )              (68   , 14   , 13   )              (11   , 1    , 18   )              (11   , 1    , 18   )              (63   , 87   , 16   )              
45             (8    , 9    , 22   )              (69   , 99   , 29   )              (73   , 73   , 82   )              (51   , 71   , 83   )              (51   , 71   , 83   )              (46   , 37   , 54   )              
46             (17   , 45   , 73   )              (90   , 3    , 10   )              (10   , 36   , 21   )              (78   , 8    , 14   )              (78   , 8    , 14   )              (27   , 50   , 41   )              
47             (77   , 99   , 97   )              (58   , 13   , 60   )              (64   , 84   , 0    )              (9    , 31   , 40   )              (9    , 31   , 40   )              (26   , 97   , 90   )              
48             (97   , 80   , 12   )              (61   , 75   , 42   )              (32   , 20   , 23   )              (40   , 97   , 58   )              (40   , 97   , 58   )              (36   , 81   , 86   )              
49             (30   , 8    , 1    )              (39   , 88   , 44   )              (87   , 48   , 21   )              (36   , 72   , 35   )              (36   , 72   , 35   )              (49   , 19   , 96   )              
50             (15   , 94   , 8    )              (53   , 65   , 92   )              (76   , 37   , 93   )              (83   , 66   , 35   )              (83   , 66   , 35   )              (27   , 35   , 24   )              
51             (93   , 95   , 21   )              (5    , 69   , 29   )              (41   , 80   , 87   )              (43   , 16   , 96   )              (43   , 16   , 96   )              (56   , 19   , 14   )              
52             (27   , 10   , 79   )              (76   , 51   , 33   )              (44   , 96   , 96   )              (79   , 80   , 80   )              (79   , 80   , 80   )              (7    , 19   , 58   )              
53             (67   , 80   , 48   )              (65   , 64   , 74   )              (50   , 78   , 76   )              (96   , 41   , 71   )              (96   , 41   , 71   )              (68   , 16   , 4    )              
54             (21   , 55   , 33   )              (77   , 23   , 62   )              (41   , 55   , 78   )              (68   , 33   , 73   )              (68   , 33   , 73   )              (99   , 32   , 70   )              
55             (30   , 79   , 52   )              (0    , 96   , 94   )              (49   , 4    , 99   )              (60   , 8    , 86   )              (60   , 8    , 86   )              (2    , 97   , 68   )              
56             (36   , 48   , 59   )              (49   , 86   , 33   )              (84   , 47   , 6    )              (52   , 92   , 33   )              (52   , 92   , 33   )              (85   , 7    , 31   )              
57             (19   , 94   , 81   )              (98   , 42   , 41   )              (92   , 88   , 29   )              (28   , 16   , 72   )              (28   , 16   , 72   )              (98   , 61   , 71   )              
58             (79   , 41   , 58   )              (94   , 6    , 72   )              (96   , 90   , 39   )              (74   , 87   , 51   )              (74   , 87   , 51   )              (45   , 52   , 92   )              
59             (92   , 13   , 73   )              (8    , 17   , 33   )              (43   , 48   , 40   )              (93   , 5    , 73   )              (93   , 5    , 73   )              (93   , 82   , 49   )              
60             (27   , 98   , 56   )              (18   , 96   , 47   )              (49   , 34   , 32   )              (4    , 26   , 48   )              (4    , 26   , 48   )              (89   , 83   , 60   )              
61             (55   , 60   , 42   )              (79   , 87   , 91   )              (14   , 84   , 80   )              (92   , 4    , 93   )              (92   , 4    , 93   )              (50   , 81   , 51   )              
62             (65   , 14   , 87   )              (97   , 58   , 30   )              (52   , 3    , 6    )              (36   , 46   , 71   )              (36   , 46   , 71   )              (12   , 48   , 86   )              
63             (17   , 26   , 83   )              (83   , 56   , 44   )              (65   , 59   , 51   )              (35   , 91   , 30   )              (35   , 91   , 30   )              (76   , 76   , 44   )              
64             (19   , 83   , 57   )              (36   , 54   , 52   )              (56   , 71   , 27   )              (54   , 0    , 45   )              (54   , 0    , 45   )              (62   , 62   , 19   )              
65             (10   , 33   , 48   )              (62   , 21   , 53   )              (31   , 48   , 16   )              (93   , 11   , 84   )              (93   , 11   , 84   )              (75   , 86   , 53   )              
66             (7    , 55   , 79   )              (98   , 93   , 42   )              (99   , 47   , 47   )              (68   , 26   , 93   )              (68   , 26   , 93   )              (61   , 40   , 89   )              
67             (71   , 16   , 50   )              (91   , 10   , 21   )              (46   , 32   , 91   )              (32   , 1    , 57   )              (32   , 1    , 57   )              (93   , 30   , 27   )              
68             (65   , 12   , 44   )              (70   , 43   , 6    )              (90   , 86   , 81   )              (97   , 17   , 22   )              (97   , 17   , 22   )              (57   , 58   , 87   )              
69             (94   , 6    , 75   )              (56   , 6    , 96   )              (85   , 64   , 66   )              (60   , 3    , 70   )              (60   , 3    , 70   )              (15   , 54   , 43   )              
70             (58   , 64   , 33   )              (60   , 30   , 89   )              (0    , 27   , 73   )              (49   , 89   , 77   )              (49   , 89   , 77   )              (8    , 15   , 94   )              
71             (19   , 80   , 77   )              (86   , 22   , 90   )              (19   , 8    , 36   )              (5    , 82   , 57   )              (5    , 82   , 57   )              (90   , 54   , 20   )              
72             (29   , 87   , 4    )              (7    , 55   , 46   )              (3    , 4    , 33   )              (70   , 82   , 33   )              (70   , 82   , 33   )              (83   , 38   , 75   )              
73             (51   , 0    , 96   )              (19   , 91   , 20   )              (32   , 19   , 61   )              (27   , 96   , 99   )              (27   , 96   , 99   )              (10   , 50   , 9    )              
74             (74   , 17   , 93   )              (76   , 5    , 58   )              (60   , 46   , 2    )              (93   , 69   , 65   )              (93   , 69   , 65   )              (43   , 75   , 35   )              
75             (1    , 42   , 46   )              (73   , 19   , 35   )              (24   , 99   , 70   )              (85   , 72   , 53   )              (85   , 72   , 53   )              (51   , 15   , 93   )              
76             (39   , 87   , 1    )              (54   , 53   , 13   )              (74   , 26   , 56   )              (52   , 81   , 41   )              (52   , 81   , 41   )              (62   , 91   , 65   )              
77             (36   , 31   , 51   )              (27   , 66   , 68   )              (27   , 81   , 54   )              (66   , 76   , 7    )              (66   , 76   , 7    )              (42   , 43   , 68   )              
78             (30   , 26   , 20   )              (83   , 84   , 31   )              (75   , 29   , 33   )              (50   , 59   , 48   )              (50   , 59   , 48   )              (26   , 32   , 60   )              
79             (76   , 88   , 28   )              (60   , 90   , 51   )              (41   , 73   , 20   )              (13   , 37   , 30   )              (13   , 37   , 30   )              (11   , 11   , 61   )              
80             (58   , 85   , 48   )              (97   , 32   , 80   )              (90   , 95   , 65   )              (48   , 92   , 92   )              (48   , 92   , 92   )              (18   , 72   , 21   )              
81             (51   , 69   , 4    )              (14   , 39   , 84   )              (20   , 82   , 57   )              (63   , 39   , 24   )              (63   , 39   , 24   )              (58   , 10   , 52   )              
82             (60   , 59   , 38   )              (59   , 27   , 84   )              (42   , 56   , 26   )              (15   , 13   , 55   )              (15   , 13   , 55   )              (6    , 37   , 0    )              
83             (59   , 73   , 81   )              (89   , 19   , 39   )              (66   , 97   , 97   )              (38   , 80   , 32   )              (38   , 80   , 32   )              (3    , 50   , 56   )              
84             (97   , 84   , 65   )              (26   , 46   , 39   )              (69   , 0    , 89   )              (86   , 47   , 75   )              (86   , 47   , 75   )              (87   , 67   , 64   )              
85             (58   , 19   , 31   )              (3    , 73   , 3    )              (60   , 54   , 41   )              (45   , 18   , 97   )              (45   , 18   , 97   )              (68   , 82   , 64   )              
86             (69   , 0    , 92   )              (23   , 40   , 36   )              (36   , 34   , 39   )              (42   , 99   , 9    )              (42   , 99   , 9    )              (54   , 85   , 75   )              
87             (39   , 6    , 52   )              (20   , 36   , 44   )              (65   , 33   , 46   )              (9    , 58   , 51   )              (9    , 58   , 51   )              (52   , 99   , 27   )              
88             (6    , 42   , 52   )              (42   , 37   , 26   )              (38   , 83   , 20   )              (14   , 49   , 82   )              (14   , 49   , 82   )              (36   , 40   , 15   )              
89             (69   , 3    , 13   )              (8    , 87   , 27   )              (35   , 34   , 62   )              (73   , 17   , 37   )              (73   , 17   , 37   )              (60   , 93   , 15   )              
90             (18   , 22   , 73   )              (16   , 93   , 94   )              (48   , 58   , 85   )              (24   , 41   , 40   )              (24   , 41   , 40   )              (78   , 48   , 37   )              
91             (18   , 27   , 72   )              (0    , 23   , 7    )              (12   , 31   , 28   )              (14   , 72   , 67   )              (14   , 72   , 67   )              (84   , 29   , 55   )              
92             (39   , 35   , 97   )              (29   , 63   , 2    )              (44   , 11   , 86   )              (71   , 8    , 65   )              (71   , 8    , 65   )              (73   , 29   , 13   )              
93             (62   , 60   , 57   )              (47   , 29   , 77   )              (55   , 27   , 67   )              (51   , 81   , 77   )              (51   , 81   , 77   )              (92   , 3    , 82   )              
94             (18   , 26   , 13   )              (0    , 80   , 7    )              (21   , 67   , 42   )              (86   , 29   , 61   )              (86   , 29   , 61   )              (96   , 13   , 80   )              
95             (81   , 29   , 8    )              (3    , 36   , 58   )              (10   , 87   , 53   )              (58   , 81   , 83   )              (58   , 81   , 83   )              (42   , 65   , 26   )              
96             (82   , 88   , 87   )              (64   , 74   , 10   )              (27   , 9    , 27   )              (71   , 79   , 88   )              (71   , 79   , 88   )              (48   , 22   , 15   )              
97             (79   , 62   , 70   )              (78   , 37   , 72   )              (76   , 15   , 49   )              (32   , 20   , 95   )              (32   , 20   , 95   )              (82   , 85   , 27   )              
98             (23   , 54   , 93   )              (68   , 30   , 72   )              (55   , 49   , 66   )              (75   , 62   , 31   )              (75   , 62   , 31   )              (80   , 64   , 47   )              
99             (41   , 46   , 59   )              (18   , 93   , 11   )              (63   , 9    , 57   )              (78   , 49   , 40   )              (78   , 49   , 40   )              (96   , 74   , 62   )              
